w,key
\phi,phi
\psi,psi
\chi,chi
\eta,eta
\mu,mu
\nu,nu
\xi,xi
\zeta,zeta
\tau,tau
\kappa,kappa
\rho,rho
\partial,part
\nabla,nabla
\forall,all
\exists,exi
\in,in
\subset,subset
\supset,superset
\cup,cup
\cap,cap
\wedge,wedge
\vee,vee
\frac,frac
\log,log
\ln,ln
\exp,exp
\sin,sin
\cos,cos
\tan,tan
\lim,limit
\to,to
\hbar,hbar
\ell,ell
\angle,angle
\perp,perp
\parallel,par
\cong,congr
\equiv,equiv
\sim,similar
\propto,prop
\pm,plusmin
\cdot,dot
\div,div
\circ,circ
\ldots,dots
\prime,prime
\binom,cho
\sqrt2,sqr
\cbrt,cube
